timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
7584,0.0000,0.0031,0.9982,0.0199,-0.0707,0.0154,idle
7635,0.0000,0.0018,1.0024,-0.0107,-0.0922,0.0382,idle
7686,0.0000,0.0016,1.0024,-0.0032,-0.0942,0.0335,idle
7737,0.0000,0.0023,0.9993,-0.0491,-0.0270,0.0283,idle
7788,0.0000,0.0008,1.0002,-0.0613,-0.0344,-0.0156,idle
7839,0.0000,0.0005,1.0020,-0.1017,0.0575,-0.1072,idle
7890,0.0000,0.0007,0.9974,-0.0744,-0.0217,-0.0507,idle
7941,0.0000,0.0009,0.9976,-0.0633,0.0294,-0.0758,idle
7992,0.0000,0.0008,1.0004,-0.0666,0.0810,-0.0592,idle
8043,0.0000,0.0009,1.0008,-0.0204,0.0139,0.0014,idle
8094,0.0000,0.0006,1.0029,-0.0552,-0.0169,0.0515,idle
8145,0.0000,0.0001,1.0006,-0.0357,-0.0339,0.0899,idle
8196,0.0000,-0.0010,0.9961,-0.0094,-0.0063,0.0841,idle
8247,0.0000,0.0010,0.9956,0.0024,-0.1079,0.1573,idle
8298,0.0000,0.0007,0.9901,-0.0369,-0.0380,0.0738,idle
8349,0.0000,0.0010,0.9911,-0.0898,-0.0859,0.0437,idle
8400,0.0000,0.0013,0.9946,-0.0725,-0.0845,0.0212,idle
8451,0.0000,0.0011,0.9962,-0.0282,-0.0834,0.0565,idle
8502,0.0000,0.0014,0.9953,-0.0889,-0.0902,-0.0419,idle
8553,0.0000,-0.0008,0.9939,-0.0489,-0.1597,0.0168,idle
8604,0.0000,-0.0019,0.9881,0.0182,-0.1069,0.0622,idle
8655,0.0000,-0.0009,0.9850,-0.0167,-0.0861,0.0634,idle
8706,0.0000,-0.0020,0.9830,-0.1148,-0.0633,0.0873,idle
8757,0.0000,-0.0021,0.9780,-0.1277,0.0236,0.0591,idle
8808,0.0000,-0.0007,0.9773,-0.1334,0.0627,0.0106,idle
8859,0.0000,-0.0016,0.9866,-0.2112,0.0053,-0.0023,idle
8910,0.0000,-0.0005,0.9895,-0.1789,0.0724,-0.0523,idle
8961,0.0000,-0.0006,0.9887,-0.1682,0.0543,-0.0480,idle
9012,0.0000,-0.0001,0.9877,-0.1185,0.0628,-0.0599,idle
9063,0.0000,-0.0003,0.9881,-0.0726,0.0115,0.0100,idle
9114,0.0000,0.0004,0.9838,-0.0282,0.0194,-0.0241,idle
9165,0.0000,-0.0004,0.9807,0.0179,-0.0186,0.0127,idle
9216,0.0000,0.0015,0.9834,0.0640,-0.0826,0.0559,idle
9267,0.0000,0.0020,0.9841,0.0933,-0.0483,0.0706,idle
9318,0.0000,0.0011,0.9828,0.0632,0.0112,0.0823,idle
9369,0.0000,0.0012,0.9793,0.0346,0.0496,-0.0121,idle
9420,0.0000,0.0012,0.9830,0.0163,0.1323,-0.0143,idle
9471,0.0000,0.0005,0.9801,-0.0106,0.0946,-0.0604,idle
9522,0.0000,0.0015,0.9806,0.0336,0.1026,-0.0896,idle
9573,0.0000,0.0023,0.9828,0.0750,0.0724,-0.0595,idle
9624,0.0000,0.0033,0.9865,0.0639,0.0146,-0.0111,idle
9675,0.0000,0.0031,0.9823,0.1023,0.0387,0.0384,idle
9726,0.0000,0.0024,0.9800,0.1758,-0.0490,0.0932,idle
9777,0.0000,0.0010,0.9783,-0.0753,0.0580,-0.0263,idle
9828,0.0000,0.0010,0.9780,0.0184,-0.0335,0.1285,idle
9879,0.0000,-0.0012,0.9797,-0.0119,0.0077,0.0402,idle
9930,0.0000,-0.0018,0.9832,-0.1538,0.1492,-0.0763,idle
9981,0.0000,-0.0013,0.9895,-0.1787,0.2058,-0.0352,idle
10032,0.0000,-0.0002,0.9945,0.0106,0.0634,0.1275,idle
10083,0.0000,0.0003,0.9926,0.0581,-0.0812,0.1447,idle
10134,0.0000,-0.0004,0.9926,-0.0214,-0.0273,-0.0019,idle
10185,0.0000,-0.0003,0.9925,-0.0087,-0.0300,0.0320,idle
10236,0.0000,-0.0009,0.9853,0.0443,-0.1100,0.1431,idle
10287,0.0000,-0.0004,0.9825,0.0164,-0.0580,-0.0047,idle
10338,0.0000,0.0003,0.9869,-0.0425,-0.0057,-0.1138,idle
